source_id,doi,pmid,pmcid,title,year,journal,authors,source_type,full_text_inspected,access_route,scout_lane,status,rejection_reason,nominating_agent,notes
S013,10.1016/j.bioelechem.2022.108165,35623273,,A peptide aptamer based electrochemical amperometric sensor for sensitive L-glutamate detection,2022,Bioelectrochemistry,Wang W; He Y; Gao Y; Gao H; Deng L; Gui Q; Cao Z; Yin Y; Feng Z,primary,no,abstract-only,A|B,rejected,"Peptide aptamer, not a nucleic-acid aptamer; out of BIOC1600 nucleic-acid scope for this thesis.",scout-A;scout-B,Peptide not nucleic-acid aptamer.
S014,10.1007/s00239-009-9270-1,19795157,,RNA-amino acid binding: a stereochemical era for the genetic code,2009,Journal of Molecular Evolution,Yarus M; Widmann JJ; Knight R,review,yes,html,A,relevant,,scout-A,Glutamate absent from compiled free-amino-acid RNA SELEX sites.
S015,10.3390/life7020013,28333103,PMC5492135,The Genetic Code and RNA-Amino Acid Affinities,2017,Life,Yarus M,review,yes,pmc,A,candidate,,scout-A,OA map; glutamate absent.
S016,10.1021/acsami.5c15695,41104714,,Rapid Multianalyte Quantification of Brain Chemistry Using Si-Nanoribbon Bio-Field-Effect Transistor Sensors,2025,ACS Applied Materials and Interfaces,Maldonado J; Rajagopalan V; Gu Y; Eid T; Spencer DD; Zaveri HP,primary,no,abstract-only,B,candidate,,scout-B,Glu aptamer plus GABA mAb. Sequence/Kd not verified from full text.
S017,10.1126/science.aao6750,30190311,PMC6663484,Aptamer-field-effect transistors overcome Debye length limitations for small-molecule sensing,2018,Science,Nakatsuka N; Yang KA; Abendroth JM; Cheung KM; Xu X; Yang H; Zhao C; et al.,primary,yes,pmc,B,relevant,,scout-B,DA/5-HT FETs not glutamate.
S018,10.1126/sciadv.abj7422,34818033,PMC8612678,Implantable aptamer-field-effect transistor neuroprobes for in vivo neurotransmitter monitoring,2021,Science Advances,Zhao C; Cheung KM; Huang I; Yang H; Nakatsuka N; Liu W; Cao Y; Man T; Weiss PS; Monbouquette HG; Andrews AM,primary,yes,pmc,B,relevant,,scout-B,Serotonin in vivo FET; no glutamate.
S019,10.1021/acs.nanolett.2c00289,35439419,PMC9420334,Implantable Aptamer-Graphene Microtransistors for Real-Time Monitoring of Neurochemical Release in Vivo,2022,Nano Letters,Wu G; Zhang N; Matarasso A; Heck I; Li H; Lu W; Phaup JG; Schneider MJ; Wu Y; Weng Z; Sun H; Gao Z; et al.,primary,yes,pmc,B,relevant,,scout-B,Dopamine in vivo graphene FET; not glutamate.
S020,10.1021/acs.analchem.1c05531,35678711,PMC9480490,Multiplexed Monitoring of Neurochemicals via Electrografting-Enabled Site-Selective Functionalization of Aptamers on Field-Effect Transistors,2022,Analytical Chemistry,Gao Z; Wu G; Song Y; Li H; Zhang Y; Schneider MJ; Qiang Y; Kaszas J; Weng Z; Sun H; Huey BD; Lai RY; Zhang Y,primary,yes,pmc,B,candidate,,scout-B,DA+5-HT multiplex FET; no glutamate.
S021,10.1002/advs.202504497,40433802,PMC12376627,In Situ Electrically Resettable Field-Effect Transistor Biosensors for Continuous and Multiplexed Neurotransmitter Detection,2025,Advanced Science,Xiao B; Li T; Cao X; Zhang Y; He J; Xiao M; Zhang Z,primary,yes,pmc,B,core,,scout-B,Includes glutamate SPR Kd and FET calibration in 0.1x PBS. Not in vivo.
S022,10.3390/bios13090881,37754115,PMC10527390,Truncated Electrochemical Aptasensor with Enhanced Antifouling Capability for Highly Sensitive Serotonin Detection,2023,Biosensors,Hu Z; Zhu R; Figueroa-Miranda G; Zhou L; Feng L; Offenhausser A; Mayer D,primary,yes,pmc,B,relevant,,scout-B,Serotonin E-AB precursor to Hu 2025 MEA.
S023,10.3390/bios13040413,37185488,PMC10136356,Recent Advances in Aptamer-Based Sensors for Sensitive Detection of Neurotransmitters,2023,Biosensors,Park JH; Eom YS; Kim TH,review,yes,pmc,B,core,,scout-B,Scout-B flags a table row that is Plasmodium GDH not neurotransmitter glutamate.
S024,10.1021/acssensors.2c01428,36205360,PMC9840907,"Real-Time, In Vivo Molecular Monitoring Using Electrochemical Aptamer Based Sensors: Opportunities and Challenges",2022,ACS Sensors,Downs AM; Plaxco KW,review,yes,pmc,B|C,relevant,,scout-B;scout-C,In vivo E-AB bar: seconds-scale reversible switching in undiluted biofluids.
S025,10.1021/acssensors.8b00278,29762016,PMC6207073,"Rapid Two-Millisecond Interrogation of Electrochemical, Aptamer-Based Sensor Response Using Intermittent Pulse Amperometry",2018,ACS Sensors,Santos-Cancel M; Lazenby RA; White RJ,primary,yes,pmc,C,relevant,,scout-C,2 ms IPA interrogation; tobramycin/ATP kobs mixing-limited.
S026,10.1021/acssensors.7b00787,29124939,,Subsecond-Resolved Molecular Measurements in the Living Body Using Chronoamperometrically Interrogated Aptamer-Based Sensors,2018,ACS Sensors,Arroyo-Curras N; Dauphin-Ducharme P; Ortega G; Ploense KL; Kippin TE; Plaxco KW,primary,partial,abstract-only,C,candidate,,scout-C,CA interrogation ~300 ms tobramycin in vivo. Paywalled VoR.
S027,10.1021/acs.analchem.0c03109,32959647,,Subsecond-Resolved Molecular Measurements Using Electrochemical Phase Interrogation of Aptamer-Based Sensors,2020,Analytical Chemistry,Downs AM; Gerson J; Ploense KL; Plaxco KW; Dauphin-Ducharme P,primary,partial,html,C,candidate,,scout-C,Phase interrogation hundreds of ms; tobramycin/cocaine.
S028,10.1021/acssensors.3c00632,37584531,PMC10463274,"Calibration-Free, Seconds-Resolved In Vivo Molecular Measurements using Fourier-Transform Impedance Spectroscopy Interrogation of Electrochemical Aptamer Sensors",2023,ACS Sensors,Roehrich B; Leung KK; Gerson J; Kippin TE; Plaxco KW; Sepunaru L,primary,yes,pmc,C,relevant,,scout-C,FFT-EIS <2 s in vivo; maps interrogation-time ladder.
S029,10.1021/acssensors.3c01055,38104257,PMC11059485,"Microscale, Electrochemical, Aptamer-Based Sensors for Enhanced Small-Molecule Detection at Millisecond Time Scales",2023,ACS Sensors,Kumakli H; Baldwin M; Abeykoon SW; White RJ,primary,yes,pmc,C,relevant,,scout-C,ATP E-AB microelectrode response 80-140 ms under flow; mass transport not kon.
S030,10.1149/2754-2726/ad15a1,38152504,PMC10750225,"Perspective-Assessing Electrochemical, Aptamer-Based Sensors for Dynamic Monitoring of Cellular Signaling",2023,ECS Sensors Plus,Rousseau CR; Kumakli H; White RJ,review,yes,pmc,C,core,,scout-C,Time resolution = binding/equilibration + analysis time. Langmuir 81-fold 10-90% range.
S031,10.1073/pnas.1613458114,28069939,PMC5278471,"Real-time measurement of small molecules directly in awake, ambulatory animals",2017,PNAS,Arroyo-Curras N; Somerson J; Vieira PA; Ploense KL; Kippin TE; Plaxco KW,primary,yes,pmc,C,candidate,,scout-C,SWV ~3 s in vivo drug measurements.
S032,10.1126/sciadv.adg3254,37196087,PMC10191434,High-precision monitoring of and feedback control over drug concentrations in the brains of freely moving rats,2023,Science Advances,Gerson J; Erdal MK; McDonough MH; Ploense KL; Dauphin-Ducharme P; Honeywell KM; Leung KK; Arroyo-Curras N; Gibson JM; Emmons NA; Meiring W; Hespanha JP; Plaxco KW; Kippin TE,primary,yes,pmc,C,candidate,,scout-C,In-brain SWV 10-11 s; sensor responds faster than interrogation.
S033,10.1021/la800801v,18690727,PMC2674396,Optimization of electrochemical aptamer-based sensors via optimization of probe packing density and surface chemistry,2008,Langmuir,White RJ; Phares N; Lubin AA; Xiao Y; Plaxco KW,primary,yes,pmc,D,core,,scout-D,E-AB packing density and MCH chemistry change gain and apparent Kd.
S034,10.1371/journal.pone.0075419,24069412,PMC3775802,Solution-phase vs surface-phase aptamer-protein affinity from a label-free kinetic biosensor,2013,PLoS ONE,Daniel C; Roupioz Y; Gasparutto D; Livache T; Buhot A,primary,yes,pmc,D,relevant,,scout-D,Thrombin aptamer KD_sol vs KD_surf density-dependent.
S035,10.1021/acs.langmuir.5c03116,40983868,,Surface crowding effects in molecular recognition by thrombin binding aptamers conjugated to gold nanoparticles,2025,Langmuir,Petrek Z; DeMello A; Giagou T; Zhang Y; Dudkin R; Lwin B; Chong HH; Ye T,primary,no,abstract-only,D,candidate,,scout-D,ITC on AuNP-immobilized TBA; VoR not inspected here.
S036,10.1002/adma.201002767,20839255,PMC3071359,A DNA nanostructure-based biomolecular probe carrier platform for electrochemical biosensing,2010,Advanced Materials,Pei H; Lu N; Wen Y; Song S; Liu Y; Yan H; Fan C,primary,yes,pmc,D,relevant,,scout-D,Foundational DNA tetrahedron probe on gold.
S037,10.1021/acsami.0c20707,33448791,PMC7933091,Immobilization strategies for enhancing sensitivity of electrochemical aptamer-based sensors,2021,ACS Applied Materials and Interfaces,Liu Y; Canoura J; Alkhamis O; Xiao Y,primary,yes,pmc,D,candidate,,scout-D,Crowding during thiol/MCH immobilization; solution ITC in immobilization buffers.
S038,10.1021/acs.jpcc.9b00845,,,Influence of aptamer surface coverage on small target recognition: a SPR and QCM-D comparative study,2019,Journal of Physical Chemistry C,MacDonald H; Bonnet H; Van der Heyden A; Defrancq E; Spinelli N; Coche-Guerente L; Dejeu J,primary,yes,html,D,relevant,,scout-D,L-tyrosinamide aptamer: solution Kd 1-3 uM vs crowded surface ~100 uM. No PMID.
S039,10.1021/ja9719586,,,Characterization of DNA probes immobilized on gold surfaces,1997,JACS,Herne TM; Tarlov MJ,primary,no,abstract-only,D,candidate,,scout-D,Origin of thiol-DNA then MCH backfill. No PMID.
S040,10.1021/ac980037q,9844566,,Electrochemical quantitation of DNA immobilized on gold,1998,Analytical Chemistry,Steel AB; Herne TM; Tarlov MJ,primary,no,abstract-only,D,candidate,,scout-D,RuHex chronocoulometry for packing density.
S041,10.1038/s43588-022-00249-6,38177576,PMC10766510,Generative aptamer discovery using RaptGen,2022,Nature Computational Science,Iwano N; Adachi T; Aoki K; Nakamura Y; Hamada M,primary,yes,pmc,E,relevant,,scout-E,VAE+HMM; more than half generated candidates weak/no SPR activity.
S042,10.1093/bib/bbae517,39431516,PMC11491854,AptaDiff: de novo design and optimization of aptamers based on diffusion models,2024,Briefings in Bioinformatics,Wang Z; Liu Z; Zhang W; Li Y; Feng Y; Lv S; Diao H; Luo Z; Yan P; He M; Li X,primary,yes,pmc,E,candidate,,scout-E,Diffusion design; most GMM-center sequences weak binders until wet-lab BO.
S043,10.1038/mtna.2015.4,25734917,PMC4354339,FASTAptamer: A Bioinformatic Toolkit for High-throughput Sequence Analysis of Combinatorial Selections,2015,Molecular Therapy Nucleic Acids,Alam KK; Chang JL; Burke DH,computational,yes,pmc,E,relevant,,scout-E,CPU Perl HT-SELEX counts. GPL-3.0 github.com/FASTAptamer/FASTAptamer
S044,10.1016/j.omtn.2018.04.006,29858086,PMC5992478,AptaSUITE: A Full-Featured Bioinformatics Framework for the Comprehensive Analysis of Aptamers from HT-SELEX Experiments,2018,Molecular Therapy Nucleic Acids,Hoinka J; Backofen R; Przytycka TM,computational,yes,pmc,E,candidate,,scout-E,Java CPU suite. GPL-3.0 github.com/drivenbyentropy/aptasuite
S045,10.3390/ijms232214410,36430888,PMC9695435,Successes and Failures of Static Aptamer-Target 3D Docking Models,2022,International Journal of Molecular Sciences,Bruno JG,review,yes,pmc,E,relevant,,scout-E,Docking poses disagree across programs; some FRET designs failed experimentally.
S046,10.1002/cbic.70481,42496030,PMC13398016,Reconsidering Molecular Docking Practices in Aptamer Research,2026,ChemBioChem,Xie Y; Liu J,primary,yes,pmc,E,core,,scout-E,RNAComposer RMSD 7.5-23.7 A; Vina does not recover theophylline vs caffeine selectivity.
S047,10.1261/rna.075341.120,32371455,PMC7373991,RNA-Puzzles Round IV: 3D structure predictions of four ribozymes and two aptamers,2020,RNA,Miao Z; Adamiak RW; Antczak M; et al.,primary,yes,pmc,E,candidate,,scout-E,Blind 5-hydroxytryptophan aptamer RMSDs 5.52-22.44 A; ligand pose low-resolution.
S048,10.1002/prot.26602,37876231,PMC10841292,Assessment of three-dimensional RNA structure prediction in CASP15,2023,Proteins,Das R; Kretsch RC; Simpkin AJ; et al.,primary,yes,pmc,E,candidate,,scout-E,RNA 3D prediction remains unsolved; 2022-era DL underperformed.
S049,10.1126/science.1359647,1359647,,The time course of glutamate in the synaptic cleft,1992,Science,Clements JD; Lester RA; Tong G; Jahr CE; Westbrook GL,primary,no,abstract-only,F,core,,scout-F,Classic cleft transient: peak 1.1 mM tau 1.2 ms. Paywalled. Kinetic inference not a chemical assay.
S050,10.1523/JNEUROSCI.3009-07.2007,17804634,PMC2670936,Extracellular glutamate concentration in hippocampal slice,2007,Journal of Neuroscience,Herman MA; Jahr CE,primary,yes,html,F,core,,scout-F,"Tonic/ambient extracellular glutamate near 25 nM in acute hippocampal slice. Paper uses ambient/baseline, not extrasynaptic as its own claim. Contrasts dialysis 1-4 µM."
S051,10.3389/fnsys.2011.00094,22275885,PMC3254064,Extracellular glutamate: functional compartments operate in different concentration ranges,2011,Frontiers in Systems Neuroscience,Moussawi K; Riegel A; Nair S; Kalivas PW,review,yes,pmc,F,relevant,,scout-F,Compartment/method map of glutamate concentrations and timescales.
S052,10.1177/1073858407308518,17947494,PMC2322853,Regulation of synaptic transmission by ambient extracellular glutamate,2008,The Neuroscientist,Featherstone DE; Shippy SA,review,yes,pmc,F,candidate,,scout-F,CSF 3-10 uM compilation; warns sensor values can inflate.
S053,10.1002/(sici)1098-2396(199711)27:3<242::aid-syn9>3.0.co;2-d,9329159,,Brain microdialysis of GABA and glutamate: what does it signify?,1997,Synapse,Timmerman W; Westerink BHC,review,no,abstract-only,F,candidate,,scout-F,Basal dialysate glutamate largely TTX-independent.
S054,10.1111/j.1471-4159.2007.04596.x,17630982,PMC3482110,Chronic second-by-second measures of L-glutamate in the central nervous system of freely moving rats,2007,Journal of Neurochemistry,Rutherford EC; Pomerleau F; Huettl P; Stromberg I; Gerhardt GA,primary,yes,pmc,F,core,,scout-F,GlutOx MEA 500-800 ms in freely moving rats.
S055,10.1021/acschemneuro.7b00262,29076724,PMC5881573,A detailed model of electroenzymatic glutamate biosensors to aid in sensor optimization and in applications in vivo,2018,ACS Chemical Neuroscience,Clay M; Monbouquette HG,primary,yes,pmc,F,core,,scout-F,GlutOx model. Simulated response 0.73 s matches experimental 0.8 ± 0.2 s. Not an aptamer. Clay 2021 is a separate simulation paper.
S056,10.1021/acschemneuro.1c00365,34734695,,Simulated performance of electroenzymatic glutamate biosensors in vivo illuminates the complex connection to calibration in vitro,2021,ACS Chemical Neuroscience,Clay M; Monbouquette HG,primary,no,abstract-only,F,candidate,,scout-F,In vitro calibration does not equal in vivo [Glu].
S057,10.1021/acssensors.3c01267,37962541,PMC10683757,"Simultaneous, real-time detection of glutamate and dopamine in rat striatum using fast-scan cyclic voltammetry",2023,ACS Sensors,Kimble LC; Twiddy JS; Berger JM; Forderhase AG; McCarty GS; Meitzen J; Sombers LA,primary,yes,pmc,F,candidate,,scout-F,Enzyme-FSCV 10 Hz; linear 25 uM to ~1 mM; not tonic nM.
S058,10.1038/nmeth.2333,23314171,PMC4469972,An optimized fluorescent probe for visualizing glutamate neurotransmission,2013,Nature Methods,Marvin JS; Borghuis BG; Tian L; et al.,primary,yes,pmc,F,relevant,,scout-F,iGluSnFR founding paper; membrane affinity ~4.9 uM not LOD.
S059,10.1038/s41592-018-0171-3,30377363,PMC6394230,"Stability, affinity, and chromatic variants of the glutamate sensor iGluSnFR",2018,Nature Methods,Marvin JS; Scholl B; Wilson DE; et al.,primary,yes,pmc,F,candidate,,scout-F,Original iGluSnFR too slow for fast synaptic transients; affinity variants.
S060,10.1073/pnas.1720648115,29735711,PMC6003469,Ultrafast glutamate sensors resolve high-frequency release at Schaffer collateral synapses,2018,PNAS,Helassa N; Durst CD; Coates C; Kerruth S; Arif U; Schulze C; Wiegert JS; Geeves M; Oertner TG; Torok K,primary,yes,html,F,relevant,,scout-F,iGluu tau_off ~2 ms; 100 Hz release. Sensor Kd not biological concentration.
S061,10.1038/s41592-023-01863-6,37142767,PMC10250197,Glutamate indicators with improved activation kinetics and localization for imaging synaptic transmission,2023,Nature Methods,Aggarwal A; Liu R; Chen Y; et al.,primary,yes,pmc,F,relevant,,scout-F,iGluSnFR3; synaptic vs extrasynaptic specificity.
S062,10.7554/eLife.54441,32352378,PMC7255799,Effects of fluorescent glutamate indicators on neurotransmitter diffusion and uptake,2020,eLife,Armbruster M; Dulla CG; Diamond JS,primary,yes,pmc,F,core,,scout-F,iGluSnFR fluorescence 10-100x longer than free glutamate lifetime; buffering.
S063,10.1002/0471142301.ns0701s47,19340812,PMC2953244,Overview of brain microdialysis,2009,Current Protocols in Neuroscience,Chefer VI; Thompson AC; Zapata A; Shippenberg TS,review,yes,pmc,F,relevant,,scout-F,Dialysis temporal/spatial limits; in vitro recovery != in vivo concentration.
S064,10.1021/acssensors.2c01909,36399772,PMC9982941,Flexible and Implantable Polyimide Aptamer-Field-Effect Transistor Biosensors,2022,ACS Sensors,Zhao C; Man T; Cao Y; Weiss PS; Monbouquette HG; Andrews AM,primary,yes,pmc,B,relevant,,scout-B,Flexible serotonin FET; not glutamate.
S065,10.3390/molecules23123159,30513671,PMC6320952,"Selection, Characterization, and Application of ssDNA Aptamer against Furaneol",2018,Molecules,Komarova N; Andrianova M; Glukhov S; Kuznetsov A,primary,yes,pmc,A,candidate,,scout-A,Same group as Wu 2022 Capture-SELEX toolkit; furaneol not glutamate.
